streetNumber,streetName,streetType,suburb,postcode,state,geoLocation,Lat,,Lng,propertyType,bedrooms,bathrooms,carspaces,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos,LGA,lga_desc,lga_ID,"Post
Code",Municipality,MunicipalityCode,RegionName,"Region
Code","Property
Count"
24,Langhorne,St,Altona Meadows,3028,Vic,{'latitude':,-37.8810867,'longitude':,144.786162,House,3,2,2,AUSD,hockingstuart Altona & Hobsons Bay,2017649228,4586,hockingstuart Altona & Hobsons Bay,https://www.domain.com.au/real-estate-agencies/hockingstuartaltonahobsonsbay-4586,https://www.domain.com.au/24-langhorne-street-altona-meadows-vic-3028-2017649228,750000,,MZ-9591-VQ,https://www.domain.com.au/property-profile/24-langhorne-street-altona-meadows-vic-3028,534,https://bucket-api.domain.com.au/v1/bucket/image/2017649228_1_1_220309_011622-w900-h600,Wyndham (C),Wyndham (C),8,3336,Melton City Council,55401,Western Metropolitan,7,1502
3,York,Cl,Altona Meadows,3028,Vic,{'latitude':,-37.8755626,'longitude':,144.7900259,House,3,2,3,AUSD,Greg Hocking Elly Partners,2017627594,19574,Greg Hocking Elly Partners,https://www.domain.com.au/real-estate-agencies/greghockingellypartners-19574,https://www.domain.com.au/3-york-close-altona-meadows-vic-3028-2017627594,912000,,GI-2417-RH,https://www.domain.com.au/property-profile/3-york-close-altona-meadows-vic-3028,630,https://bucket-api.domain.com.au/v1/bucket/image/2017627594_1_1_220228_063339-w4000-h2667,Wyndham (C),Wyndham (C),8,3231,Surf Coast Shire Council,50101,Western Victoria,8,736
35A,Angus,Av,Altona North,3025,Vic,{'latitude':,-37.8348169,'longitude':,144.8567823,House,3,2,2,AUSP,Buxton Inner West,2017645445,4371,Buxton Inner West,https://www.domain.com.au/real-estate-agencies/buxtoninnerwest-4371,https://www.domain.com.au/35a-angus-avenue-altona-north-vic-3025-2017645445,905000,,LM-7329-QY,https://www.domain.com.au/property-profile/35a-angus-avenue-altona-north-vic-3025,328,https://bucket-api.domain.com.au/v1/bucket/image/2017645445_1_1_220307_115013-w1600-h1067,Hobsons Bay (C),Hobsons Bay (C),5,3851,Wellington Shire Council,53901,Eastern Victoria,2,52
75,Blanche,St,Ardeer,3022,Vic,{'latitude':,-37.7793839,'longitude':,144.7997957,House,3,1,1,AUSP,Barry Plant Sunshine,2017618579,8753,Barry Plant Sunshine,https://www.domain.com.au/real-estate-agencies/barryplantsunshine-8753,https://www.domain.com.au/75-blanche-street-ardeer-vic-3022-2017618579,785000,,IL-1052-MO,https://www.domain.com.au/property-profile/75-blanche-street-ardeer-vic-3022,602,https://bucket-api.domain.com.au/v1/bucket/image/2017618579_1_1_220224_120635-w3840-h2560,Brimbank (C),Brimbank (C),6,3042,Moonee Valley City Council,55603,Western Metropolitan,7,3755
111,Suspension,St,Ardeer,3022,Vic,{'latitude':,-37.7817783,'longitude':,144.7992785,House,5,1,2,AUSP,Barry Plant Sunshine,2017612293,8753,Barry Plant Sunshine,https://www.domain.com.au/real-estate-agencies/barryplantsunshine-8753,https://www.domain.com.au/111-suspension-street-ardeer-vic-3022-2017612293,850000,,OG-9022-NY,https://www.domain.com.au/property-profile/111-suspension-street-ardeer-vic-3022,594,https://bucket-api.domain.com.au/v1/bucket/image/2017612293_1_1_220222_052626-w1500-h1000,Brimbank (C),Brimbank (C),6,3021,Brimbank City Council,54201,Western Metropolitan,7,1959
13,Inverness,Av,Armadale,3143,Vic,{'latitude':,-37.8594095,'longitude':,145.0216719,House,4,2,1,AUHB,Thomson,2017652415,176,Thomson ,https://www.domain.com.au/real-estate-agencies/thomson-176,https://www.domain.com.au/13-inverness-avenue-armadale-vic-3143-2017652415,2720000,,PC-1013-RQ,https://www.domain.com.au/property-profile/13-inverness-avenue-armadale-vic-3143,796,https://bucket-api.domain.com.au/v1/bucket/image/2017652415_2_1_220309_112351-w1500-h1000,Stonnington (C),Stonnington (C),22,3206,Port Phillip City Council,51102,Southern Metropolitan,6,26
844,Malvern,Rd,Armadale,3143,Vic,{'latitude':,-37.8504331,'longitude':,145.018443,Unit,2,1,1,AUSD,Gary Peer,2017643090,273, Gary Peer,https://www.domain.com.au/real-estate-agencies/garypeer-273,https://www.domain.com.au/9-844-malvern-road-armadale-vic-3143-2017643090,540000,9,IN-0787-LW,https://www.domain.com.au/property-profile/844-malvern-road-armadale-vic-3143,1355,0,Stonnington (C),Stonnington (C),22,3206,Port Phillip City Council,51103,Southern Metropolitan,6,3305
23-25,St Georges,Rd,Armadale,3143,Vic,{'latitude':,-37.8604028,'longitude':,145.0216851,Unit,2,1,1,AUSD,Belle Property South Yarra,2017643583,3721,Belle Property South Yarra,https://www.domain.com.au/real-estate-agencies/bellepropertysouthyarra-3721,https://www.domain.com.au/3-23-25-st-georges-road-armadale-vic-3143-2017643583,740000,3,UP-2961-NO,0,0,0,Stonnington (C),Stonnington (C),22,3971,Wellington Shire Council,53902,Eastern Victoria,2,157
42,Roseberry,St,Ascot Vale,3032,Vic,{'latitude':,-37.7742825,'longitude':,144.9133789,Unit,3,2,2,AUSP,Nelson Alexander Ascot Vale,2017656109,4723,Nelson Alexander Ascot Vale,https://www.domain.com.au/real-estate-agencies/nelsonalexanderascotvale-4723,https://www.domain.com.au/5-42-roseberry-street-ascot-vale-vic-3032-2017656109,1250000,5,KS-4336-BF,0,0,0,Moonee Valley (C),Moonee Valley (C),9,3971,Wellington Shire Council,53902,Eastern Victoria,2,44
100,Union,Rd,Ascot Vale,3032,Vic,{'latitude':,-37.7767332,'longitude':,144.9155296,Unit,2,1,1,AUSA,HAR West,2017662027,28524,Harcourts West Realty,https://www.domain.com.au/real-estate-agencies/harcourtswestrealty-28524,https://www.domain.com.au/25-100-union-road-ascot-vale-vic-3032-2017662027,618000,25,EZ-3703-KV,0,0,0,Moonee Valley (C),Moonee Valley (C),9,3020,Brimbank City Council,54202,Western Metropolitan,7,2276
17,Unley,Gr,Ascot Vale,3032,Vic,{'latitude':,-37.7745423,'longitude':,144.9217637,House,3,1,1,AUSD,Nelson Alexander Keilor East,2017649815,15596,Nelson Alexander Keilor East,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkeiloreast-15596,https://www.domain.com.au/17-unley-grove-ascot-vale-vic-3032-2017649815,1220000,,BR-6281-BG,https://www.domain.com.au/property-profile/17-unley-grove-ascot-vale-vic-3032,238,https://bucket-api.domain.com.au/v1/bucket/image/2017649815_1_1_220309_025225-w1600-h1067,Moonee Valley (C),Moonee Valley (C),9,3714,Murrindindi Shire Council,53003,Northern Victoria,4,26
56,Fakenham,Rd,Ashburton,3147,Vic,{'latitude':,-37.8631322,'longitude':,145.0916283,House,2,1,3,AUHB,Jellis Craig - Boroondara,2017647616,6525, Jellis Craig & Company Pty Ltd,https://www.domain.com.au/real-estate-agencies/jelliscraigcompanyptyltd-6525,https://www.domain.com.au/56-fakenham-road-ashburton-vic-3147-2017647616,1635000,,ZQ-7118-LF,https://www.domain.com.au/property-profile/56-fakenham-road-ashburton-vic-3147,732,https://bucket-api.domain.com.au/v1/bucket/image/2017647616_1_1_220308_061813-w1600-h1067,Monash (C),Monash (C),24,3714,Murrindindi Shire Council,53006,Northern Victoria,4,53
1,Ramu,Gr,Ashburton,3147,Vic,{'latitude':,-37.8707913,'longitude':,145.0839485,House,3,2,2,AUHB,Marshall White Stonnington,2017645389,4450,Marshall White Stonnington,https://www.domain.com.au/real-estate-agencies/marshallwhitestonnington-4450,https://www.domain.com.au/1-1-ramu-grove-ashburton-vic-3147-2017645389,1490000,1,ST-0449-HR,https://www.domain.com.au/property-profile/1-ramu-grove-ashburton-vic-3147,523,https://bucket-api.domain.com.au/v1/bucket/image/w800-h600-8012368_1_pi_150312_090058,Monash (C),Monash (C),24,3714,Murrindindi Shire Council,53007,Northern Victoria,4,1340
11,Ashwood,Dr,Ashwood,3147,Vic,{'latitude':,-37.8574467,'longitude':,145.1061762,House,4,3,2,AUSD,J & D Real Estate,2017630343,30827,J & D Real Estate,https://www.domain.com.au/real-estate-agencies/jdrealestate-30827,https://www.domain.com.au/11-ashwood-drive-ashwood-vic-3147-2017630343,1850000,,AK-3669-QU,https://www.domain.com.au/property-profile/11-ashwood-drive-ashwood-vic-3147,723,https://bucket-api.domain.com.au/v1/bucket/image/2017630343_1_1_220301_053033-w3000-h2000,Monash (C),Monash (C),24,3350,Ballarat City Council,50301,Western Victoria,8,1028
41a,Herbert,St,Avondale Heights,3034,Vic,{'latitude':,-37.766166,'longitude':,144.857505,House,4,3,1,AUSD,Moonee Valley Real Estate,2017630554,11740,Moonee Valley Real Estate,https://www.domain.com.au/real-estate-agencies/mooneevalleyrealestate,https://www.domain.com.au/41a-herbert-street-avondale-heights-vic-3034-2017630554,1380000,,UN-6790-TK,https://www.domain.com.au/property-profile/41a-herbert-street-parkdale-vic-3195,938,0,Moonee Valley (C),Moonee Valley (C),9,3350,Ballarat City Council,50302,Western Victoria,8,3172
43,North,Rd,Avondale Heights,3034,Vic,{'latitude':,-37.75399,'longitude':,144.8580601,House,3,1,2,AUSP,Barry Plant Keilor East,2017649541,27626,Barry Plant Keilor East,https://www.domain.com.au/real-estate-agencies/barryplantkeiloreast-27626,https://www.domain.com.au/43-north-road-avondale-heights-vic-3034-2017649541,950000,,CC-6284-LI,https://www.domain.com.au/property-profile/43-north-road-avondale-heights-vic-3034,602,https://bucket-api.domain.com.au/v1/bucket/image/2017649541_1_1_220309_021013-w2499-h1665,Moonee Valley (C),Moonee Valley (C),9,3823,Baw Baw Shire Council,53502,Eastern Victoria,2,24
64,Thompson,St,Avondale Heights,3034,Vic,{'latitude':,-37.7593586,'longitude':,144.8543019,House,3,1,1,AUSP,Nelson Alexander Keilor East,2017649435,15596,Nelson Alexander Keilor East,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkeiloreast-15596,https://www.domain.com.au/64-thompson-street-avondale-heights-vic-3034-2017649435,890000,,RZ-3638-SW,https://www.domain.com.au/property-profile/64-thompson-street-avondale-heights-vic-3034,581,https://bucket-api.domain.com.au/v1/bucket/image/2017649435_1_1_220309_015324-w1600-h900,Moonee Valley (C),Moonee Valley (C),9,3871,Baw Baw Shire Council,53502,Eastern Victoria,2,20
10A,Westminster,Dr,Avondale Heights,3034,Vic,{'latitude':,-37.7639074,'longitude':,144.8612857,House,3,2,1,AUSP,Moonee Valley Real Estate,2017627505,11740,Moonee Valley Real Estate,https://www.domain.com.au/real-estate-agencies/mooneevalleyrealestate,https://www.domain.com.au/10a-westminster-dr-avondale-heights-vic-3034-2017627505,940000,,WZ-7229-FC,https://www.domain.com.au/property-profile/10a-westminster-drive-avondale-heights-vic-3034,286,https://bucket-api.domain.com.au/v1/bucket/image/2017627505_1_1_220228_061648-w2100-h1400,Moonee Valley (C),Moonee Valley (C),9,3871,South Gippsland Shire Council,53803,Eastern Victoria,2,5
1,Linton,St,Balaclava,3183,Vic,{'latitude':,-37.8659922,'longitude':,144.9926361,House,3,1,1,AUSD,Buxton St Kilda,2017651062,15964,Buxton St Kilda,https://www.domain.com.au/real-estate-agencies/buxtonstkilda-15964,https://www.domain.com.au/1-linton-street-balaclava-vic-3183-2017651062,1217000,,FX-2090-FF,https://www.domain.com.au/property-profile/1-linton-street-balaclava-vic-3183,186,https://bucket-api.domain.com.au/v1/bucket/image/2017651062_1_1_220309_054508-w1600-h1067,Port Phillip (C),Port Phillip (C),3,3871,South Gippsland Shire Council,53803,Eastern Victoria,2,31
44,Weir,St,Balwyn,3103,Vic,{'latitude':,-37.8141075,'longitude':,145.0845756,House,2,1,2,AUSD,Nelson Alexander Kew,2017648734,3909,Nelson Alexander Kew,https://www.domain.com.au/real-estate-agencies/nelsonalexanderkew-3909,https://www.domain.com.au/44-weir-street-balwyn-vic-3103-2017648734,3030000,,ON-7924-LS,https://www.domain.com.au/property-profile/44-weir-street-balwyn-vic-3103,1002,https://bucket-api.domain.com.au/v1/bucket/image/2017648734_1_1_220308_114803-w1600-h1066,Boroondara (C),Boroondara (C),17,3691,Indigo Shire Council,52601,Northern Victoria,4,102
58,Sylvander,St,Balwyn North,3104,Vic,{'latitude':,-37.7868357,'longitude':,145.0937506,House,5,3,2,AUSD,Fletchers Balwyn North,2017650991,4339,Fletchers Balwyn North,https://www.domain.com.au/real-estate-agencies/fletchersbalwynnorth-4339,https://www.domain.com.au/58-sylvander-street-balwyn-north-vic-3104-2017650991,2230000,,CC-0462-RK,https://www.domain.com.au/property-profile/58-sylvander-street-balwyn-north-vic-3104,650,https://bucket-api.domain.com.au/v1/bucket/image/2017650991_1_1_220309_053827-w1600-h1067,Boroondara (C),Boroondara (C),17,3277,Moyne Shire Council,51801,Western Victoria,8,108
6,The Boulevard,,Balwyn North,3104,Vic,{'latitude':,-37.7874646,'longitude':,145.0661566,House,4,2,3,AUHB,Marshall White Balwyn,2017638873,18210,Marshall White Boroondara,https://www.domain.com.au/real-estate-agencies/marshallwhiteboroondara-18210,https://www.domain.com.au/6-the-boulevard-balwyn-north-vic-3104-2017638873,2025000,,PI-2939-TR,https://www.domain.com.au/property-profile/22-na-botto-court-morphettville-sa-5043,0,0,Boroondara (C),Boroondara (C),17,3277,Warrnambool City Council,52101,Western Victoria,8,494
38,Tower,Rd,Balwyn North,3104,Vic,{'latitude':,-37.8015986,'longitude':,145.0809973,House,3,2,3,AUSD,Fletchers Balwyn North,2017649319,4339,Fletchers Balwyn North,https://www.domain.com.au/real-estate-agencies/fletchersbalwynnorth-4339,https://www.domain.com.au/38-tower-road-balwyn-north-vic-3104-2017649319,2418000,,AR-8130-GM,https://www.domain.com.au/property-profile/38-tower-road-balwyn-north-vic-3104,649,https://bucket-api.domain.com.au/v1/bucket/image/2017649319_1_1_220309_013248-w1600-h1068,Boroondara (C),Boroondara (C),17,3364,Hepburn Shire Council,56404,Western Victoria,8,76
131,Charman,Rd,Beaumaris,3193,Vic,{'latitude':,-37.9779328,'longitude':,145.0524872,Townhouse,3,2,4,AUHB,Maitland Group,2017644773,13671,Maitland Group,https://www.domain.com.au/real-estate-agencies/maitlandgroup-13671,https://www.domain.com.au/5-131-charman-road-near-rossmith-avenue-beaumaris-vic-3193-2017644773,1200000,5,AQ-1930-CX,https://www.domain.com.au/property-profile/131-charman-road-beaumaris-vic-3193,254,0,Bayside (C),Bayside (C),30,3305,Glenelg Shire Council,51701,Western Victoria,8,89
1,Te Hongi,Ct,Beaumaris,3193,Vic,{'latitude':,-37.9854255,'longitude':,145.0272612,House,3,2,2,AUHB,Hodges Sandringham,2017651286,3917,Hodges Real Estate Sandringham,https://www.domain.com.au/real-estate-agencies/hodgesrealestatesandringham-3917,https://www.domain.com.au/1-te-hongi-court-beaumaris-vic-3193-2017651286,2100000,,ZH-1103-DQ,https://www.domain.com.au/property-profile/1-te-hongi-court-beaumaris-vic-3193,380,https://bucket-api.domain.com.au/v1/bucket/image/2017651286_1_1_220309_061308-w1600-h1068,Bayside (C),Bayside (C),30,3465,Central Goldfields Shire Council,56303,Western Victoria,8,94
26,Tibbles,St,Beaumaris,3193,Vic,{'latitude':,-37.9727789,'longitude':,145.0385123,House,3,1,2,AUSD,Eview Group,2017642834,11919,Eview Group - Australia,https://www.domain.com.au/real-estate-agencies/eviewgroupaustralia-11919,https://www.domain.com.au/26-tibbles-street-beaumaris-vic-3193-2017642834,1780000,,JS-9579-PU,https://www.domain.com.au/property-profile/26-tibbles-street-beaumaris-vic-3193,782,https://bucket-api.domain.com.au/v1/bucket/image/2017642834_2_1_220307_125532-w6000-h4002,Bayside (C),Bayside (C),30,3727,Moira Shire Council,52901,Northern Victoria,4,7
51,Pavo,St,Belmont,3216,Vic,{'latitude':,-38.1802196,'longitude':,144.3280785,House,3,1,2,AUSD,McGrath Geelong ; Newtown,2017642600,5797,McGrath Geelong | Newtown,https://www.domain.com.au/real-estate-agencies/mcgrathgeelongnewtown-5797,https://www.domain.com.au/51-pavo-street-belmont-vic-3216-2017642600,837000,,NP-1749-PM,https://www.domain.com.au/property-profile/51-pavo-street-belmont-vic-3216,679,https://bucket-api.domain.com.au/v1/bucket/image/2017642600_1_1_220307_120110-w4134-h2756,Greater Geelong (C),Greater Geelong (C),33,3979,Bass Coast Shire Council,53403,Eastern Victoria,2,28
9,Clairmont,Av,Bentleigh,3204,Vic,{'latitude':,-37.9213484,'longitude':,145.0256759,Townhouse,3,2,2,AUSD,Jellis Craig Bentleigh,2017645620,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/2-9-clairmont-avenue-bentleigh-vic-3204-2017645620,1300000,2,BH-8783-MI,https://www.domain.com.au/property-profile/9-clairmont-avenue-bentleigh-vic-3204,583,0,Glen Eira (C),Glen Eira (C),23,3078,Darebin City Council,50807,Northern Metropolitan,3,1347
15b,Evelyn,St,Bentleigh,3204,Vic,{'latitude':,-37.9182259,'longitude':,145.0494554,Townhouse,4,2,2,AUSP,Buxton Bentleigh,2017666500,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/15b-evelyn-street-bentleigh-vic-3204-2017666500,1947000,,HA-3584-HI,https://www.domain.com.au/property-profile/15b-evelyn-street-bentleigh-vic-3204,388,https://bucket-api.domain.com.au/v1/bucket/image/2017666500_1_1_220316_030051-w1600-h1067,Glen Eira (C),Glen Eira (C),23,3078,Yarra City Council,51301,Northern Metropolitan,3,1037
4B,Bevis,St,Bentleigh East,3165,Vic,{'latitude':,-37.9185362,'longitude':,145.0524465,Unit,3,2,1,AUSD,C21 on Centre,2017645158,3604,Century 21 On Centre,https://www.domain.com.au/real-estate-agencies/c21bentleigh,https://www.domain.com.au/2-4b-bevis-street-bentleigh-east-vic-3165-2017645158,1061000,2,NF-0730-MK,https://www.domain.com.au/property-profile/4b-bevis-street-bentleigh-east-vic-3165,232,0,Glen Eira (C),Glen Eira (C),23,3018,Hobsons Bay City Council,50901,Western Metropolitan,7,5614
176,Bignell,Rd,Bentleigh East,3165,Vic,{'latitude':,-37.9248503,'longitude':,145.0714119,House,3,1,2,AUSD,Hodges Bentleigh,2017633255,3912,Hodges Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/hodgesrealestatebentleigh-3912,https://www.domain.com.au/176-bignell-road-bentleigh-east-vic-3165-2017633255,1215000,,GQ-9133-VP,https://www.domain.com.au/property-profile/176-bignell-road-bentleigh-east-vic-3165,585,https://bucket-api.domain.com.au/v1/bucket/image/2017633255_1_1_220302_034925-w1600-h1067,Glen Eira (C),Glen Eira (C),23,3028,Hobsons Bay City Council,50901,Western Metropolitan,7,280
2c,Blenheim,St,Bentleigh East,3165,Vic,{'latitude':,-37.9100354,'longitude':,145.0699904,Townhouse,3,2,1,AUSD,Jellis Craig Bentleigh,2017645965,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/2c-blenheim-street-bentleigh-east-vic-3165-2017645965,1425000,,WP-2973-UN,https://www.domain.com.au/property-profile/2c-blenheim-street-bentleigh-east-vic-3165,199,https://bucket-api.domain.com.au/v1/bucket/image/2017645965_1_1_220308_013448-w1600-h1067,Glen Eira (C),Glen Eira (C),23,3028,Hobsons Bay City Council,50903,Western Metropolitan,7,7542
6,Brad,St,Bentleigh East,3165,Vic,{'latitude':,-37.9314686,'longitude':,145.0620431,Unit,2,1,1,AUSP,Buxton Bentleigh,2017666541,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/2-6-brad-street-bentleigh-east-vic-3165-2017666541,630000,2,XF-3429-RS,https://www.domain.com.au/property-profile/6-brad-street-bentleigh-east-vic-3165,608,0,Glen Eira (C),Glen Eira (C),23,3025,Hobsons Bay City Council,50901,Western Metropolitan,7,1
96,Castlewood,St,Bentleigh East,3165,Vic,{'latitude':,-37.9169889,'longitude':,145.0736221,Townhouse,4,2,2,AUSD,Jellis Craig Bentleigh,2017646597,30117,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,https://www.domain.com.au/2-96-castlewood-street-bentleigh-east-vic-3165-2017646597,1245000,2,EA-9571-YO,https://www.domain.com.au/property-profile/96-castlewood-street-bentleigh-east-vic-3165,306,0,Glen Eira (C),Glen Eira (C),23,3025,Hobsons Bay City Council,50901,Western Metropolitan,7,4447
8,Clarence,St,Bentleigh East,3165,Vic,{'latitude':,-37.9282631,'longitude':,145.0588773,House,3,1,2,AUSD,Buxton Bentleigh,2017668005,3811,Buxton Real Estate Bentleigh,https://www.domain.com.au/real-estate-agencies/buxtonrealestatebentleigh-3811,https://www.domain.com.au/8-clarence-street-bentleigh-east-vic-3165-2017668005,1436000,,SK-5831-PH,https://www.domain.com.au/property-profile/8-clarence-street-bentleigh-east-vic-3165,593,https://bucket-api.domain.com.au/v1/bucket/image/2017668005_1_1_220316_061808-w1600-h1067,Glen Eira (C),Glen Eira (C),23,3025,Hobsons Bay City Council,50902,Western Metropolitan,7,1036
