Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Buffalo,3958,-38.6765966,146.013851,6597,,,,,,1.0,875000.0,875000.0,,,,,,,,
Bulla,3428,-37.6342319,144.7961441,6657,,,,,,1.0,1200000.0,1200000.0,,,,,,,,
Bulleen,3105,-37.7660476,145.0879338,6707,1520000.0,49.0,3500000.0,498000.0,1300000.0,83.0,3800000.0,495000.0,39.0,28.0,,36.0,505.0,46.0,775.0,315.0
Bullengarook,3437,-37.5197014,144.5437205,6717,,1.0,1450000.0,1450000.0,,4.0,1700000.0,1200000.0,,,,,,2.0,500.0,380.0
Buln Buln,3821,-38.0844084,146.002705,6747,,3.0,1200000.0,850000.0,,2.0,1250000.0,1150000.0,1.0,1.0,,,,,,
Bumberrah,3902,-37.8149759,147.8140428,6777,,1.0,785000.0,785000.0,,2.0,785000.0,580000.0,,,,,,,,
Bunbartha,3634,-36.2266803,145.4250118,6787,,,,,,1.0,661000.0,661000.0,,,,,,,,
Bundalong,3730,-36.0520717,145.8913207,6817,,1.0,917000.0,917000.0,930000.0,11.0,3990000.0,659000.0,,,,,,2.0,850.0,480.0
Bunding,3342,-37.6114047,144.215646,6837,,1.0,3000000.0,3000000.0,,1.0,2950000.0,2950000.0,,,,,,,,
Bundoora,3083,-37.6987006,145.0548502,6877,900000.0,111.0,1950000.0,465000.0,790000.0,152.0,1700000.0,320000.0,87.0,67.0,,32.0,430.0,205.0,750.0,140.0
Bungal,3334,-37.7625944,144.0630048,6927,,,,,,1.0,2750000.0,2750000.0,,,,,,1.0,575.0,575.0
Buninyong,3357,-37.6521937,143.8943543,7017,740000.0,19.0,2040000.0,520000.0,695000.0,24.0,2300000.0,450000.0,,,,21.0,,9.0,560.0,280.0
Bunyip,3815,-38.0771825,145.7245012,7037,793000.0,18.0,1375000.0,395000.0,730000.0,33.0,1400000.0,460000.0,1.0,1.0,,31.0,,4.0,950.0,380.0
Bunyip North,3815,-38.0771825,145.7245012,7047,,,,,,1.0,1300000.0,1300000.0,,,,,,,,
Burnley,3121,-37.8203499,144.9997396,7117,,2.0,1523000.0,1489000.0,,4.0,1800000.0,1150000.0,3.0,2.0,,,,8.0,1600.0,395.0
Burnside,3023,-37.7687064,144.7521888,7137,750000.0,21.0,1190000.0,550000.0,760000.0,41.0,1250000.0,285000.0,4.0,2.0,,43.0,445.0,16.0,580.0,320.0
Burnside Heights,3023,-37.7687064,144.7521888,48297,701000.0,16.0,975000.0,610000.0,670000.0,29.0,6200000.0,500000.0,11.0,5.0,,17.0,420.0,31.0,550.0,360.0
Burramine,3730,-36.0520717,145.8913207,7167,,,,,,1.0,925000.0,925000.0,,,,,,,,
Burwood,3125,-37.8483275,145.1099967,7237,1378000.0,65.0,2401000.0,525000.0,1299000.0,114.0,14000000.0,480000.0,52.0,31.0,,67.0,500.0,118.0,1100.0,150.0
Burwood East,3151,-37.8552869,145.1513801,7327,1252000.0,24.0,1536000.0,971000.0,1100000.0,49.0,1700000.0,265000.0,16.0,11.0,,49.0,500.0,81.0,790.0,140.0
Bushfield,3281,-38.2466034,142.5532048,7347,,4.0,1050000.0,720000.0,,4.0,1000000.0,670000.0,,,,,,,,
Bushy Park,3860,-37.6951451,146.9661233,7357,,1.0,650000.0,650000.0,,,,,,,,,,,,
Buxton,3711,-37.430404,145.702282,7377,,3.0,986000.0,545000.0,,5.0,985000.0,545000.0,,,,,,1.0,450.0,450.0
Byrneside,3617,-36.4005389,145.1706992,7447,,1.0,340000.0,340000.0,,,,,,,,,,1.0,280.0,280.0
Cabarita,3505,-34.189156,141.8100218,7467,,4.0,667000.0,405000.0,,4.0,650000.0,395000.0,,,,,,,,
Cabbage Tree Creek,3889,-37.609984,148.8289611,7497,,,,,,1.0,1090000.0,1090000.0,,,,,,,,
Cairnlea,3023,-37.7687064,144.7521888,7527,933000.0,19.0,1405000.0,690000.0,800000.0,34.0,1350000.0,475000.0,7.0,5.0,,41.0,430.0,22.0,600.0,370.0
Caldermeade,3984,-38.3114378,145.5579927,7547,,,,,,3.0,1059000.0,550000.0,,,,,,1.0,400.0,400.0
California Gully,3556,-36.6478425,144.1938221,7567,451000.0,22.0,915000.0,300000.0,440000.0,35.0,875000.0,295000.0,,,,29.0,400.0,17.0,490.0,320.0
Callignee,3844,-38.2728501,146.5840737,7607,,1.0,340000.0,340000.0,,1.0,1475000.0,1475000.0,,,,,,1.0,290.0,290.0
Calrossie,3971,-38.5613687,146.6065057,7647,,,,,,1.0,725000.0,725000.0,,,,,,,,
Camberwell,3124,-37.8334095,145.0658766,7677,2315000.0,74.0,9800000.0,691000.0,2200000.0,145.0,10000000.0,600000.0,66.0,40.0,,36.0,820.0,97.0,2200.0,220.0
Cambrian Hill,3352,-37.7122033,143.8671868,7697,,,,,,1.0,950000.0,950000.0,,,,,,,,
Campbellfield,3061,-37.665113,144.955677,7717,600000.0,19.0,755000.0,440000.0,590000.0,34.0,1575000.0,390000.0,15.0,7.0,,46.0,420.0,19.0,600.0,277.0
Camperdown,3260,-38.1491105,143.1319209,7797,508000.0,29.0,1970000.0,220000.0,500000.0,39.0,1995000.0,130000.0,15.0,11.0,,69.0,,8.0,550.0,200.0
Canadian,3350,-37.5691087,143.8563224,7817,541000.0,17.0,750000.0,395000.0,535000.0,31.0,2000000.0,320000.0,,,,17.0,385.0,25.0,530.0,280.0
Cann River,3890,-37.5621735,149.1960526,7857,,4.0,230000.0,175000.0,,4.0,539000.0,219000.0,,,,,,,,
Cannons Creek,3977,-38.1347885,145.2811778,7877,,4.0,1785000.0,610000.0,,5.0,1623000.0,550000.0,1.0,1.0,,,,2.0,410.0,400.0
Canterbury,3126,-37.8245223,145.0741474,7907,3800000.0,25.0,6500000.0,321000.0,2800000.0,40.0,7644000.0,260000.0,21.0,15.0,,30.0,845.0,32.0,3100.0,360.0
Cape Bridgewater,3305,-38.290126,141.4706543,7917,,,,,,3.0,930000.0,735000.0,,,,,,2.0,220.0,1.0
Cape Otway,3233,-38.7494709,143.6285244,7957,,1.0,1210000.0,1210000.0,,1.0,1000000.0,1000000.0,,,,,,,,
Cape Schanck,3939,-38.4218526,144.8951287,7987,,4.0,1500000.0,956000.0,,6.0,2400000.0,750000.0,1.0,1.0,,,,1.0,925.0,925.0
Cape Woolamai,3925,-38.5282425,145.3862638,7997,820000.0,22.0,1210000.0,593000.0,850000.0,34.0,1450000.0,540000.0,,,,36.0,,5.0,550.0,330.0
Capel Sound,3940,-38.3745297,144.8786231,157177,850000.0,36.0,1635000.0,290000.0,783000.0,50.0,1500000.0,290000.0,12.0,5.0,,28.0,450.0,17.0,,390.0
Cardinia,3978,-38.140252,145.3807298,8137,,2.0,1055000.0,910000.0,,4.0,976000.0,630000.0,,,,,,3.0,510.0,460.0
Cardross,3496,-34.3907124,141.4309582,8147,,1.0,732000.0,732000.0,,3.0,1250000.0,485000.0,,,,,,,,
Carisbrook,3464,-37.0150311,143.8454596,8187,,3.0,555000.0,220000.0,549000.0,11.0,750000.0,220000.0,,,,,,,,
Carlisle River,3239,-38.5619202,143.4122052,8197,,1.0,265000.0,265000.0,,1.0,284000.0,284000.0,,,,,,,,
Carlsruhe,3442,-37.3324774,144.5437205,8207,,1.0,935000.0,935000.0,,2.0,3600000.0,900000.0,,,,,,,,
Carlton,3053,-37.798389,144.9694441,8217,1718000.0,22.0,7350000.0,240000.0,1255000.0,49.0,2700000.0,150000.0,23.0,16.0,,28.0,558.0,122.0,2600.0,46.0
Carlton North,3054,-37.7843702,144.9694441,8247,1670000.0,35.0,4700000.0,880000.0,1498000.0,42.0,3650000.0,850000.0,36.0,22.0,,24.0,673.0,110.0,1750.0,295.0
Carnegie,3163,-37.8950779,145.0548502,8297,1685000.0,43.0,2775000.0,708000.0,1350000.0,78.0,2850000.0,480000.0,35.0,22.0,,40.0,620.0,68.0,1200.0,250.0
Caroline Springs,3023,-37.7687064,144.7521888,8327,736000.0,99.0,1715000.0,430000.0,690000.0,156.0,2300000.0,420000.0,37.0,18.0,,43.0,430.0,161.0,655.0,340.0
Carrum,3197,-38.0742262,145.1431018,8497,846000.0,16.0,4350000.0,569000.0,905000.0,28.0,4500000.0,84000.0,11.0,9.0,,40.0,460.0,17.0,700.0,340.0
Carrum Downs,3201,-38.0975353,145.1706992,8507,700000.0,81.0,857000.0,425000.0,665000.0,145.0,900000.0,340000.0,4.0,1.0,,26.0,440.0,69.0,550.0,350.0
Castella,3777,-37.5848772,145.5136433,8557,,3.0,1480000.0,930000.0,,4.0,1400000.0,860000.0,,,,,,,,
Casterton,3311,-37.5824909,141.2841298,8567,,4.0,360000.0,35000.0,335000.0,21.0,680000.0,160000.0,,,,,,1.0,320.0,320.0
Castlemaine,3450,-37.0636472,144.2265602,8607,739000.0,39.0,1615000.0,510000.0,744000.0,71.0,2700000.0,495000.0,1.0,,,37.0,400.0,19.0,625.0,320.0
Catani,3981,-38.1825837,145.5912693,8637,,1.0,420000.0,420000.0,,1.0,450000.0,450000.0,,,,,,,,
Cathcart,3377,-37.2971613,142.9170407,8647,,1.0,581000.0,581000.0,,1.0,510000.0,510000.0,,,,,,,,
Caulfield,3162,-37.8932076,145.0217795,8687,1808000.0,17.0,3250000.0,790000.0,1700000.0,27.0,3000000.0,50000.0,20.0,14.0,,,805.0,16.0,,520.0
Caulfield East,3145,-37.8763981,145.0548502,8707,,4.0,2700000.0,880000.0,,5.0,3000000.0,290000.0,3.0,2.0,,,,7.0,1045.0,250.0
Caulfield North,3161,-37.8712631,145.0190242,8747,2613000.0,47.0,8800000.0,850000.0,1900000.0,69.0,21000000.0,370000.0,42.0,33.0,,78.0,720.0,69.0,1400.0,250.0
Caulfield South,3162,-37.8932076,145.0217795,8787,1765000.0,49.0,3310000.0,1005000.0,1600000.0,63.0,3491000.0,800000.0,50.0,42.0,,24.0,690.0,59.0,1500.0,330.0
Cavendish,3314,-37.4235761,142.0639245,8807,,1.0,375000.0,375000.0,,1.0,399000.0,399000.0,,,,,,,,
Chadstone,3148,-37.8819831,145.0989646,8847,1300000.0,30.0,1812000.0,779000.0,1100000.0,54.0,2400000.0,650000.0,25.0,17.0,,35.0,548.0,94.0,1050.0,140.0
Charlemont,3217,-38.2617284,144.3248554,144567,685000.0,17.0,845000.0,540000.0,599000.0,147.0,899000.0,228000.0,,,,26.0,450.0,25.0,550.0,410.0
Charlton,3525,-36.2125211,143.4338092,8897,,6.0,450000.0,100000.0,270000.0,11.0,450000.0,210000.0,,,,,,1.0,250.0,250.0
Chelsea,3196,-38.048116,145.1210303,8927,818000.0,39.0,2912000.0,550000.0,800000.0,60.0,4700000.0,520000.0,19.0,16.0,,16.0,475.0,40.0,775.0,300.0
Chelsea Heights,3196,-38.048116,145.1210303,8937,935000.0,17.0,1410000.0,840000.0,875000.0,27.0,1100000.0,630000.0,10.0,7.0,,,550.0,11.0,700.0,420.0
Cheltenham,3192,-37.964155,145.0658766,8967,1268000.0,80.0,2830000.0,540000.0,1100000.0,136.0,2200000.0,360000.0,71.0,55.0,,46.0,550.0,129.0,1100.0,300.0
Chesney Vale,3725,-36.4002774,145.958135,9027,,,,,,1.0,1145000.0,1145000.0,,,,,,1.0,650.0,650.0
Chewton,3451,-37.0991896,144.1938221,9047,,2.0,979000.0,845000.0,,6.0,1650000.0,520000.0,,,,,,2.0,380.0,340.0
Chiltern,3683,-36.1761422,146.5840737,9087,380000.0,10.0,700000.0,160000.0,375000.0,14.0,650000.0,225000.0,1.0,1.0,,,,3.0,380.0,300.0
Chirnside Park,3116,-37.7373267,145.3088196,9137,905000.0,66.0,2850000.0,655000.0,840000.0,101.0,3100000.0,530000.0,9.0,5.0,,28.0,470.0,45.0,950.0,390.0
Christmas Hills,3775,-37.6158673,145.3807298,9167,,1.0,1255000.0,1255000.0,,4.0,3500000.0,1050000.0,,,,,,,,
Chum Creek,3777,-37.5848772,145.5136433,9187,,1.0,955000.0,955000.0,,4.0,1250000.0,590000.0,,,,,,1.0,650.0,650.0
Churchill,3842,-38.3219988,146.4160017,9197,365000.0,33.0,950000.0,230000.0,379000.0,60.0,1100000.0,220000.0,,,,20.0,320.0,30.0,550.0,260.0
Clarinda,3169,-37.9454838,145.1210303,9257,1153000.0,12.0,1350000.0,857000.0,1000000.0,19.0,1400000.0,830000.0,8.0,4.0,,,445.0,31.0,610.0,350.0
Clarkefield,3430,-37.497542,144.8071366,9267,,1.0,5600000.0,5600000.0,,,,,,,,,,,,
Clayton,3168,-37.9211962,145.1320653,9327,897000.0,28.0,1555000.0,685000.0,950000.0,140.0,9500000.0,398000.0,30.0,17.0,,87.0,480.0,234.0,1000.0,145.0
Clayton South,3169,-37.9454838,145.1210303,9367,971000.0,28.0,1750000.0,700000.0,850000.0,62.0,3780000.0,460000.0,22.0,16.0,,61.0,460.0,118.0,780.0,255.0
Clematis,3782,-37.9137981,145.4582381,9397,,,,,,1.0,100000.0,100000.0,,,,,,1.0,480.0,480.0
Clifton Hill,3068,-37.7885749,144.9887218,9437,1758000.0,22.0,3700000.0,1060000.0,1725000.0,27.0,3980000.0,129000.0,23.0,15.0,,,685.0,56.0,1350.0,320.0
Clifton Springs,3222,-38.2049453,144.5875645,9447,740000.0,53.0,2650000.0,575000.0,700000.0,90.0,1850000.0,529000.0,6.0,1.0,,32.0,430.0,27.0,570.0,360.0
Clonbinane,3658,-37.2372916,145.093449,9457,,,,,,1.0,2500000.0,2500000.0,,,,,,,,
Club Terrace,3889,-37.609984,148.8289611,9487,,2.0,510000.0,195000.0,,2.0,650000.0,195000.0,,,,,,,,
Clunes,3370,-37.261355,143.8020236,9507,550000.0,12.0,730000.0,430000.0,550000.0,20.0,1000000.0,290000.0,,,,37.0,,3.0,450.0,250.0
Clyde,3978,-38.140252,145.3807298,9517,678000.0,76.0,1240000.0,459000.0,610000.0,516.0,2800000.0,77000.0,2.0,2.0,,38.0,440.0,102.0,750.0,365.0
Clyde North,3978,-38.140252,145.3807298,9527,709000.0,160.0,1340000.0,530000.0,685000.0,992.0,1400000.0,320000.0,10.0,4.0,,40.0,450.0,192.0,1000.0,300.0
Cobden,3266,-38.3948462,143.1534436,9617,,8.0,870000.0,220000.0,,8.0,760000.0,175000.0,1.0,,,,,3.0,310.0,295.0
Cobungra,3898,-37.022052,147.5079912,9677,,,,,,1.0,275000.0,275000.0,,,,,,,,
Coburg,3058,-37.7343488,144.9666905,9707,1330000.0,99.0,2102000.0,535000.0,1100000.0,157.0,2870000.0,280000.0,98.0,58.0,,31.0,520.0,214.0,1960.0,250.0
Coburg North,3058,-37.7343488,144.9666905,9727,971000.0,40.0,1615000.0,613000.0,900000.0,56.0,2600000.0,450000.0,33.0,22.0,,34.0,480.0,59.0,,350.0
Cockatoo,3781,-37.9473069,145.5025595,9777,790000.0,25.0,1700000.0,660000.0,750000.0,50.0,1500000.0,410000.0,,,,32.0,,4.0,595.0,375.0
Coghills Creek,3364,-37.3708363,143.9541563,9817,,1.0,300000.0,300000.0,,,,,,,,,,,,
Cohuna,3568,-35.8021206,144.215646,9827,310000.0,14.0,705000.0,119000.0,265000.0,39.0,985000.0,45000.0,,,,,,2.0,787.0,280.0
Coimadai,3340,-37.7356162,144.4123303,9847,,,,,,2.0,1400000.0,1390000.0,,,,,,,,
Colac,3250,-38.3313559,143.5852111,9867,480000.0,48.0,992000.0,350000.0,468000.0,78.0,880000.0,328000.0,2.0,1.0,,25.0,400.0,30.0,1350.0,300.0
Colac East,3250,-38.3313559,143.5852111,9887,,2.0,625000.0,585000.0,,5.0,2500000.0,417000.0,,,,,,,,
Coldstream,3770,-37.7057909,145.4250118,9947,,7.0,965000.0,797000.0,790000.0,12.0,1100000.0,580000.0,1.0,1.0,,,,3.0,500.0,400.0
Colignan,3494,-34.540636,142.1487691,9967,,3.0,420000.0,275000.0,,4.0,375000.0,99000.0,,,,,,,,
Collingwood,3066,-37.8009595,144.9873447,9987,1350000.0,17.0,2500000.0,940000.0,1200000.0,28.0,2300000.0,695000.0,16.0,13.0,,,600.0,64.0,1300.0,250.0
Congupna,3633,-36.2927129,145.480396,10057,,1.0,695000.0,695000.0,,3.0,1050000.0,695000.0,,,,,,,,
Connewarre,3227,-38.2498059,144.4232713,10077,,4.0,1875000.0,930000.0,,4.0,1790000.0,800000.0,,,,,,,,
Coolaroo,3048,-37.6539007,144.9226452,10107,525000.0,12.0,630000.0,410000.0,500000.0,20.0,600000.0,410000.0,3.0,1.0,,,338.0,22.0,405.0,280.0
Coongulla,3860,-37.6951451,146.9661233,10157,,4.0,667000.0,275000.0,,5.0,650000.0,265000.0,,,,,,,,
Cora Lynn,3814,-38.0999051,145.6800684,10227,,,,,,1.0,1910000.0,1910000.0,,,,,,,,
Coragulac,3249,-38.36853,143.4338092,10267,,,,,,2.0,1300000.0,210000.0,,,,,,1.0,250.0,250.0
Corinella,3984,-38.3114378,145.5579927,10297,788000.0,12.0,1620000.0,599000.0,775000.0,21.0,1575000.0,430000.0,1.0,,,27.0,,2.0,470.0,350.0
Corio,3214,-38.0788809,144.3576473,10317,520000.0,81.0,800000.0,323000.0,508000.0,133.0,900000.0,208000.0,2.0,2.0,,25.0,350.0,80.0,500.0,235.0
Coronet Bay,3984,-38.3114378,145.5579927,10377,590000.0,21.0,916000.0,450000.0,640000.0,38.0,1300000.0,399000.0,,,,56.0,,4.0,550.0,350.0
Corop,3559,-36.5430106,144.8291259,10387,,1.0,200000.0,200000.0,,1.0,75000.0,75000.0,,,,,,,,
Cororooke,3254,-38.2962142,143.5256956,10397,,1.0,418000.0,418000.0,,1.0,440000.0,440000.0,,,,,,,,
Corryong,3707,-36.4104992,147.9162555,10427,318000.0,10.0,650000.0,220000.0,320000.0,14.0,650000.0,200000.0,4.0,3.0,,,,2.0,300.0,300.0
Cottles Bridge,3099,-37.5885255,145.2148736,10487,,6.0,1720000.0,1110000.0,,6.0,1580000.0,880000.0,1.0,1.0,,,,,,
Cowes,3922,-38.4898703,145.2038278,10517,860000.0,79.0,5400000.0,300000.0,830000.0,155.0,5700000.0,350000.0,2.0,1.0,,35.0,450.0,31.0,600.0,350.0
Cowwarr,3857,-38.0132354,146.6850587,10567,,,,,,1.0,450000.0,450000.0,,,,,,,,
Craigieburn,3064,-37.5424079,144.9391595,10597,639000.0,328.0,1200000.0,313000.0,591000.0,625.0,1700000.0,269000.0,164.0,114.0,,35.0,400.0,473.0,700.0,310.0
Cranbourne,3977,-38.1347885,145.2811778,10627,641000.0,110.0,1495000.0,360000.0,620000.0,200.0,1650000.0,330000.0,5.0,3.0,,40.0,390.0,112.0,550.0,250.0
Cranbourne East,3977,-38.1347885,145.2811778,10647,710000.0,90.0,1665000.0,486000.0,615000.0,368.0,2500000.0,340000.0,,,,37.0,440.0,125.0,620.0,360.0
Cranbourne North,3977,-38.1347885,145.2811778,10657,686000.0,111.0,1172000.0,77000.0,650000.0,177.0,1200000.0,55000.0,6.0,3.0,,20.0,435.0,114.0,580.0,320.0
Cranbourne South,3977,-38.1347885,145.2811778,10677,,8.0,2801000.0,705000.0,788000.0,50.0,4850000.0,541000.0,1.0,1.0,,,,8.0,990.0,460.0
Cremorne,3121,-37.8203499,144.9997396,10737,,7.0,2450000.0,1275000.0,1720000.0,13.0,2595000.0,480000.0,10.0,4.0,,,625.0,27.0,1000.0,300.0
Cressy,3322,-38.0526438,143.6285244,10747,,3.0,425000.0,235000.0,,2.0,390000.0,220000.0,,,,,,,,
Creswick,3363,-37.409312,143.8780526,10767,525000.0,22.0,968000.0,250000.0,550000.0,30.0,985000.0,190000.0,,,,39.0,,9.0,460.0,310.0
Crib Point,3919,-38.3534427,145.1983055,10797,843000.0,19.0,1040000.0,560000.0,790000.0,27.0,1380000.0,440000.0,1.0,,,23.0,,9.0,650.0,335.0
Crossley,3283,-38.2179522,142.2337184,10827,,1.0,780000.0,780000.0,,4.0,1600000.0,490000.0,,,,,,,,
Croydon,3136,-37.7983502,145.2811778,10867,913000.0,120.0,2277000.0,475000.0,850000.0,206.0,2600000.0,432000.0,37.0,24.0,,35.0,475.0,135.0,900.0,350.0
Croydon Hills,3136,-37.7983502,145.2811778,10877,1170000.0,19.0,1538000.0,835000.0,1050000.0,27.0,1350000.0,800000.0,7.0,3.0,,17.0,583.0,16.0,800.0,450.0
Croydon North,3136,-37.7983502,145.2811778,10887,1085000.0,35.0,2020000.0,662000.0,900000.0,64.0,1800000.0,565000.0,15.0,9.0,,54.0,455.0,19.0,690.0,340.0
Croydon South,3136,-37.7983502,145.2811778,10897,902000.0,31.0,1358000.0,88000.0,830000.0,42.0,1350000.0,590000.0,10.0,8.0,,14.0,500.0,20.0,680.0,350.0
Cudgee,3265,-38.2633053,142.7455935,10927,,1.0,750000.0,750000.0,,1.0,,,1.0,1.0,,,,,,
Culgoa,3530,-35.7166782,143.1534436,10947,,2.0,170000.0,80000.0,,2.0,160000.0,88000.0,,,,,,,,
Cullulleraine,3496,-34.3907124,141.4309582,10977,,,,,,1.0,275000.0,275000.0,,,,,,,,
Curlewis,3222,-38.2049453,144.5875645,11027,695000.0,18.0,1260000.0,525000.0,679000.0,41.0,2000000.0,580000.0,,,,22.0,445.0,26.0,620.0,390.0
Dadswells Bridge,3385,-36.9066682,142.6600232,11047,,,,,,1.0,1050000.0,1050000.0,,,,,,,,
Daisy Hill,3465,-37.0550295,143.6935405,11057,,1.0,620000.0,620000.0,,4.0,775000.0,575000.0,,,,,,1.0,350.0,350.0
Dales Creek,3341,-37.5934691,144.3248554,11067,,3.0,1230000.0,573000.0,,6.0,1250000.0,549000.0,,,,,,,,
Dallas,3047,-37.6763574,144.9336544,11087,548000.0,32.0,950000.0,280000.0,540000.0,43.0,770000.0,395000.0,17.0,10.0,,51.0,335.0,48.0,480.0,270.0
Dalmore,3981,-38.1825837,145.5912693,11097,,,,,,2.0,680000.0,350000.0,,,,,,,,
Daltons Bridge,3568,-35.8021206,144.215646,11107,,1.0,368000.0,368000.0,,1.0,410000.0,410000.0,,,,,,,,
Dalyston,3992,-38.5123976,145.6023644,11127,675000.0,11.0,1400000.0,536000.0,647000.0,21.0,1400000.0,470000.0,,,,,,,,
Dandenong,3175,-38.0191689,145.2148736,11157,624000.0,78.0,1607000.0,290000.0,600000.0,181.0,3850000.0,250000.0,40.0,15.0,,55.0,390.0,149.0,525.0,175.0
Dandenong North,3175,-38.0191689,145.2148736,11187,750000.0,86.0,2200000.0,360000.0,700000.0,159.0,3700000.0,128000.0,45.0,27.0,,38.0,390.0,99.0,600.0,150.0
Darnum,3822,-38.1797383,146.0361469,11317,,1.0,840000.0,840000.0,,2.0,1750000.0,775000.0,,,,,,1.0,340.0,340.0
Darraweit Guim,3756,-37.4071549,144.9832134,11327,,1.0,880000.0,880000.0,,2.0,950000.0,850000.0,,,,,,,,
Daylesford,3460,-37.3405241,144.1610974,11407,885000.0,43.0,1942000.0,425000.0,890000.0,57.0,3000000.0,460000.0,,,,71.0,475.0,18.0,675.0,290.0
Dean,3363,-37.409312,143.8780526,48337,,,,,,1.0,1230000.0,1230000.0,,,,,,,,
Deans Marsh,3235,-38.455233,143.9324048,11437,,,,,,1.0,880000.0,880000.0,,,,,,,,
Deep Lead,3385,-36.9066682,142.6600232,63757,,1.0,570000.0,570000.0,,,,,,,,,,,,
Deepdene,3103,-37.8090918,145.0769045,11487,,5.0,3280000.0,2550000.0,,7.0,9975000.0,1450000.0,3.0,2.0,,,800.0,11.0,1800.0,350.0
Deer Park,3023,-37.7687064,144.7521888,11507,635000.0,78.0,980000.0,490000.0,600000.0,119.0,1900000.0,365000.0,21.0,10.0,,39.0,380.0,81.0,550.0,290.0
Delacombe,3356,-37.5881949,143.8183092,11537,600000.0,23.0,880000.0,248000.0,565000.0,85.0,860000.0,255000.0,,,,16.0,400.0,22.0,480.0,310.0
Delahey,3037,-37.6940036,144.7521888,11547,679000.0,28.0,953000.0,517000.0,600000.0,35.0,790000.0,500000.0,19.0,17.0,,25.0,370.0,24.0,480.0,300.0
Dennington,3280,-38.3603292,142.4678659,11637,573000.0,16.0,1160000.0,380000.0,525000.0,25.0,1100000.0,300000.0,2.0,1.0,,39.0,,4.0,580.0,480.0
Derrimut,3030,-37.938058,144.6753231,161087,748000.0,26.0,1151000.0,505000.0,655000.0,42.0,1400000.0,470000.0,8.0,5.0,,36.0,450.0,38.0,580.0,390.0
Derrinal,3523,-36.8919051,144.7412036,11717,,1.0,600000.0,600000.0,,1.0,550000.0,550000.0,1.0,,,,,,,
Derrinallum,3325,-37.9076784,143.1749726,11737,,3.0,540000.0,280000.0,,3.0,500000.0,280000.0,,,,,,1.0,340.0,340.0
Devon Meadows,3977,-38.1347885,145.2811778,11787,,,,,,2.0,1700000.0,1147000.0,,,,,,3.0,800.0,600.0
Diamond Creek,3089,-37.6666174,145.1541397,11867,1036000.0,59.0,2003000.0,700000.0,970000.0,80.0,2500000.0,620000.0,33.0,22.0,,24.0,538.0,28.0,780.0,340.0
Digby,3309,-37.7888212,141.5360368,11887,,,,,,1.0,300000.0,300000.0,,,,,,,,
Diggers Rest,3427,-37.6153848,144.6862995,11897,625000.0,25.0,1005000.0,488000.0,620000.0,152.0,3000000.0,335000.0,2.0,1.0,,43.0,430.0,32.0,560.0,340.0
Dimboola,3414,-36.314886,142.0639245,11927,,8.0,530000.0,75000.0,287000.0,12.0,699000.0,140000.0,,,,,,3.0,260.0,190.0
Dingley Village,3172,-37.9772192,145.1320653,11977,1100000.0,35.0,1435000.0,744000.0,995000.0,38.0,1560000.0,80000.0,28.0,18.0,,28.0,560.0,25.0,750.0,425.0
Dinner Plain,3898,-37.022052,147.5079912,12007,,6.0,1500000.0,810000.0,960000.0,27.0,1900000.0,545000.0,,,,,,,,
Docklands,3005,-37.8227336,144.9525797,12117,,5.0,1925000.0,330000.0,1390000.0,20.0,6800000.0,338000.0,1.0,,,,675.0,18.0,1200.0,350.0
Don Valley,3139,-37.8251456,145.5579927,12147,,2.0,680000.0,455000.0,,4.0,895000.0,460000.0,,,,,,,,
Donald,3480,-36.3286415,142.9170407,12157,,9.0,406000.0,60000.0,210000.0,13.0,400000.0,49000.0,,,,,,2.0,295.0,275.0
Doncaster,3108,-37.7865824,145.1210303,12177,1465000.0,92.0,3299000.0,712000.0,1325000.0,212.0,6000000.0,330000.0,73.0,38.0,,99.0,550.0,141.0,1150.0,229.0
Doncaster East,3109,-37.7883929,145.1541397,12227,1550000.0,88.0,3100000.0,830000.0,1350000.0,224.0,2800000.0,138000.0,77.0,48.0,,77.0,560.0,141.0,1000.0,325.0
Donnybrook,3064,-37.5424079,144.9391595,12237,628000.0,18.0,1150000.0,400000.0,579000.0,333.0,2800000.0,261000.0,2.0,1.0,,116.0,420.0,36.0,520.0,355.0
Donvale,3111,-37.7901921,145.1872619,12247,1485000.0,31.0,3809000.0,650000.0,1500000.0,70.0,4000000.0,375000.0,26.0,18.0,,26.0,520.0,34.0,1000.0,200.0
Dookie,3646,-36.2251044,145.7133909,12277,,2.0,330000.0,300000.0,,3.0,400000.0,260000.0,1.0,,,,,2.0,250.0,220.0
Doreen,3754,-37.5963626,145.1265477,12307,740000.0,137.0,2670000.0,445000.0,685000.0,250.0,2100000.0,400000.0,21.0,14.0,,22.0,420.0,143.0,850.0,345.0
Doveton,3177,-37.9957951,145.2424941,12367,600000.0,60.0,850000.0,385000.0,580000.0,116.0,1700000.0,385000.0,10.0,9.0,,50.0,360.0,54.0,450.0,300.0
